City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
1,Mabaruma,GY,77.0,8.2,-59.7833,Monty Brooms Guest House
2,Auki,SB,77.81,-8.7676,160.7034,Auki Motel
3,Singaraja,ID,80.73,-8.112,115.0882,Puri Bagus Lovina Resort
6,Honiara,SB,77.76,-9.4333,159.95,Heritage Park Hotel
7,Isangel,VU,80.74,-19.55,169.2667,Tanna Lodge
13,Mana,GF,79.14,5.6592,-53.7767,LE SAMANA
25,Puerto Ayora,EC,77.85,-0.7393,-90.3518,Finch Bay Galapagos Hotel
28,Marrakesh,MA,82.47,31.6315,-8.0083,Les Jardins de La Koutoubia
31,Cuamba,MZ,80.46,-14.8031,36.5372,Hotel Vision
37,Chegutu,ZW,75.18,-18.1302,30.1407,Jacaranda Lodge
38,Carnarvon,AU,75.27,-24.8667,113.6333,Hospitality Carnarvon
42,Butaritari,KI,80.46,3.0707,172.7902,Isles Sunset Lodge
43,Cayenne,GF,83.08,4.9333,-52.3333,Hôtel Le Dronmi
55,Caravelas,BR,86.38,-17.7125,-39.2481,Pousada dos Navegantes
56,Vaini,TO,75.36,-21.2,-175.2,Keleti Beach Resort
57,Kavieng,PG,81.46,-2.5744,150.7967,Nusa Island Retreat
59,Pakxan,LA,81.9,18.3778,103.6601,Kong Kham Pheng Guesthouse
65,Rikitea,PF,78.71,-23.1203,-134.9692,People ThankYou
74,Bandarbeyla,SO,83.64,9.4942,50.8122,JABIR HOTEL
75,Maragogi,BR,82.8,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
81,Santa Rosa,PH,84.11,14.3122,121.1114,Erlyn’s Sta Rosa City Home
82,Mont-Dore,NC,81.0,-22.2833,166.5833,GIte
88,Marzuq,YE,85.55,14.4,46.4667,
89,Cape Town,ZA,80.28,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
91,Coxim,BR,85.1,-18.5067,-54.76,Hotel Avenida
93,Shiraz,IR,80.04,29.6036,52.5388,Shams Hotel
