City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tautira,PF,2022-04-01 13:27:35,-17.7333,-149.15,81.12,78,87,9.95
1,Waingapu,ID,2022-04-01 13:27:36,-9.6567,120.2641,79.07,81,5,2.17
2,Hilo,US,2022-04-01 13:23:20,19.7297,-155.09,71.33,91,40,6.91
3,Grand Gaube,MU,2022-04-01 13:27:36,-20.0064,57.6608,76.37,86,100,8.01
4,Bluff,NZ,2022-04-01 13:27:37,-46.6,168.3333,48.45,77,9,7.85
5,Rikitea,PF,2022-04-01 13:27:37,-23.1203,-134.9692,75.49,69,100,20.65
6,East London,ZA,2022-04-01 13:27:37,-33.0153,27.9116,70.74,83,40,9.22
7,Buraydah,SA,2022-04-01 13:27:38,26.326,43.975,93.65,8,0,4.61
8,Guerrero Negro,MX,2022-04-01 13:24:54,27.9769,-114.0611,56.39,76,2,9.95
9,Daru,PG,2022-04-01 13:27:38,-9.0763,143.2092,77.47,86,100,3.13
10,Cozumel,MX,2022-04-01 13:25:00,20.5083,-86.9458,81.95,84,20,13.0
11,Kamaishi,JP,2022-04-01 13:27:38,39.2667,141.8833,34.38,62,26,6.42
12,Ushuaia,AR,2022-04-01 13:27:20,-54.8,-68.3,42.46,93,100,6.91
13,Bonthe,SL,2022-04-01 13:27:39,7.5264,-12.505,87.01,65,66,9.19
14,Brownsville,US,2022-04-01 13:25:44,25.9018,-97.4975,67.98,94,0,5.75
15,Hermanus,ZA,2022-04-01 13:27:39,-34.4187,19.2345,71.8,64,12,19.66
16,Sao Filipe,CV,2022-04-01 13:27:40,14.8961,-24.4956,72.27,77,6,6.64
17,Busselton,AU,2022-04-01 13:27:40,-33.65,115.3333,70.88,80,53,2.98
18,Albany,US,2022-04-01 13:27:40,42.6001,-73.9662,44.38,90,100,6.33
19,Codrington,AU,2022-04-01 13:27:41,-38.2667,141.9667,56.21,68,67,13.06
20,Mayo,US,2022-04-01 13:27:41,38.8876,-76.5119,53.67,59,75,8.05
21,Tasiilaq,GL,2022-04-01 13:27:42,65.6145,-37.6368,33.96,90,79,0.89
22,Kapaa,US,2022-04-01 13:27:42,22.0752,-159.319,71.92,83,75,18.41
23,Seminole,US,2022-04-01 13:27:42,28.7086,-81.2081,73.49,95,100,0.0
24,Kipini,KE,2022-04-01 13:27:42,-2.5257,40.5262,88.09,66,13,12.57
25,Mataura,NZ,2022-04-01 13:27:43,-46.1927,168.8643,40.05,98,3,1.41
26,Torbay,CA,2022-04-01 13:27:43,47.6666,-52.7314,37.89,80,100,5.75
27,Atuona,PF,2022-04-01 13:27:01,-9.8,-139.0333,77.99,74,27,7.83
28,Saint-Philippe,RE,2022-04-01 13:27:44,-21.3585,55.7679,80.19,88,100,17.07
29,Chifeng,CN,2022-04-01 13:27:44,42.2683,118.9636,41.72,47,100,5.53
30,Alanya,TR,2022-04-01 13:27:44,36.5438,31.9998,69.93,42,77,6.51
31,Bathsheba,BB,2022-04-01 13:27:45,13.2167,-59.5167,84.81,61,40,27.63
32,Saint George,US,2022-04-01 13:27:45,37.1041,-113.5841,54.19,58,0,5.75
33,Bandarbeyla,SO,2022-04-01 13:25:21,9.4942,50.8122,82.85,69,0,12.77
34,Cherskiy,RU,2022-04-01 13:27:45,68.75,161.3,-25.58,100,95,2.04
35,Rock Sound,BS,2022-04-01 13:27:46,24.9,-76.2,76.44,85,5,17.02
36,Marsh Harbour,BS,2022-04-01 13:27:46,26.5412,-77.0636,76.77,82,6,17.4
37,Severo-Kurilsk,RU,2022-04-01 13:27:46,50.6789,156.125,27.25,66,86,23.06
38,Norman Wells,CA,2022-04-01 13:27:47,65.282,-126.8329,-36.36,61,20,0.0
39,Hobart,AU,2022-04-01 13:27:47,-42.8794,147.3294,57.06,84,100,13.8
40,Constitucion,CL,2022-04-01 13:27:47,-35.3333,-72.4167,58.46,51,27,6.4
41,Port Alfred,ZA,2022-04-01 13:27:48,-33.5906,26.891,67.17,86,100,4.0
42,Udachnyy,RU,2022-04-01 13:27:48,66.4167,112.4,17.46,78,99,15.39
43,Castro,BR,2022-04-01 13:27:48,-24.7911,-50.0119,54.84,97,100,5.79
44,Eureka,US,2022-04-01 13:27:49,40.8021,-124.1637,46.2,87,2,5.82
45,Chuy,UY,2022-04-01 13:27:49,-33.6971,-53.4616,62.29,55,11,7.0
46,Wanlaweyn,SO,2022-04-01 13:27:49,2.6185,44.8938,92.62,37,76,17.36
47,Mahebourg,MU,2022-04-01 13:25:30,-20.4081,57.7,76.24,94,75,11.5
48,Terney,RU,2022-04-01 13:28:50,45.0503,136.6092,27.5,66,1,6.33
49,Punta Arenas,CL,2022-04-01 13:26:35,-53.15,-70.9167,51.91,54,40,23.02
